"Date","Price","Open","High","Low","Change %"
"Jul 01, 2020","129.471","129.980","130.010","129.448","-0.45%"
"Jun 30, 2020","130.062","129.774","130.141","128.872","0.34%"
"Jun 29, 2020","129.625","130.167","130.167","129.432","-0.47%"
"Jun 28, 2020","130.242","130.295","130.295","130.212","0.18%"
"Jun 26, 2020","130.004","128.802","130.064","128.676","0.78%"
"Jun 25, 2020","129.004","129.304","129.866","128.562","0.04%"
"Jun 24, 2020","128.950","127.738","129.315","127.481","-0.38%"
"Jun 23, 2020","129.445","129.841","130.503","127.865","-0.42%"
"Jun 22, 2020","129.997","130.338","130.974","129.873","-0.23%"
"Jun 21, 2020","130.293","130.120","130.384","130.113","0.14%"
"Jun 19, 2020","130.116","129.927","130.378","128.926","-0.10%"
"Jun 18, 2020","130.249","128.501","130.249","128.449","1.18%"
"Jun 17, 2020","128.729","128.380","129.883","126.694","-0.91%"
"Jun 16, 2020","129.905","129.881","130.016","128.197","-0.81%"
"Jun 15, 2020","130.967","131.784","132.329","130.606","-0.70%"
"Jun 14, 2020","131.892","130.985","131.899","130.985","0.69%"
"Jun 12, 2020","130.987","132.139","132.162","130.479","-0.81%"
"Jun 11, 2020","132.057","129.889","132.057","129.701","0.95%"
"Jun 10, 2020","130.815","129.511","131.124","129.271","1.12%"
"Jun 09, 2020","129.363","128.139","130.075","128.139","1.25%"
"Jun 08, 2020","127.770","127.267","128.155","126.487","0.42%"
"Jun 07, 2020","127.230","127.362","127.362","127.209","-0.05%"
"Jun 05, 2020","127.288","125.931","127.731","122.994","1.20%"
"Jun 04, 2020","125.777","127.806","127.953","125.582","-1.31%"
"Jun 03, 2020","127.452","128.597","128.782","127.097","-1.27%"
"Jun 02, 2020","129.092","129.718","129.966","128.792","-0.39%"
"Jun 01, 2020","129.601","130.383","130.399","129.168","-0.55%"
"May 31, 2020","130.316","130.467","130.467","130.316","-0.30%"
"May 29, 2020","130.707","129.236","130.707","129.056","1.61%"
"May 28, 2020","128.636","128.251","129.060","127.845","-0.12%"
"May 27, 2020","128.785","129.758","130.028","128.202","-0.74%"
"May 26, 2020","129.745","130.656","130.724","128.989","-0.74%"
"May 25, 2020","130.710","130.611","130.726","130.611","0.08%"
"May 24, 2020","130.611","130.611","130.611","130.611","0.51%"
"May 22, 2020","129.946","130.304","131.382","129.946","0.00%"
"May 21, 2020","129.946","128.094","130.150","128.094","0.40%"
"May 20, 2020","129.422","124.014","129.689","123.323","4.81%"
"May 19, 2020","123.478","123.494","124.016","122.894","0.37%"
"May 18, 2020","123.023","124.566","124.641","122.089","-1.22%"
"May 17, 2020","124.548","124.623","124.623","124.548","-0.14%"
"May 15, 2020","124.722","125.125","126.098","124.525","-1.48%"
"May 14, 2020","126.600","124.267","126.715","124.213","2.03%"
"May 13, 2020","124.083","121.886","124.400","121.729","1.87%"
"May 12, 2020","121.811","121.122","122.249","120.913","-0.10%"
"May 11, 2020","121.934","122.694","123.099","121.220","-0.66%"
"May 10, 2020","122.746","122.793","122.835","122.746","-0.98%"
"May 08, 2020","123.967","124.939","125.760","123.079","-1.03%"
"May 07, 2020","125.259","125.031","125.425","123.593","0.74%"
"May 06, 2020","124.345","126.041","126.041","123.785","-1.72%"
"May 05, 2020","126.521","125.138","126.767","124.316","0.48%"
"May 04, 2020","125.916","131.222","131.405","125.267","-3.44%"
"May 03, 2020","130.397","130.397","130.397","130.397","-0.00%"
"May 01, 2020","130.399","130.513","131.360","129.943","-0.47%"
"Apr 30, 2020","131.020","131.556","132.083","130.073","0.79%"
"Apr 29, 2020","129.987","130.742","131.493","129.741","-0.58%"
"Apr 28, 2020","130.744","130.237","131.782","130.049","0.18%"
"Apr 27, 2020","130.512","131.728","131.728","130.264","-0.94%"
"Apr 26, 2020","131.747","131.639","131.747","131.600","0.07%"
"Apr 24, 2020","131.658","131.857","132.406","131.241","0.19%"
"Apr 23, 2020","131.404","130.721","132.024","130.375","0.63%"
"Apr 22, 2020","130.582","130.963","131.731","129.498","-0.36%"
"Apr 21, 2020","131.057","131.847","133.958","130.851","-0.40%"
"Apr 20, 2020","131.579","130.824","131.922","130.824","0.55%"
"Apr 19, 2020","130.862","130.774","130.862","130.774","-2.17%"
"Apr 17, 2020","133.768","133.600","135.902","130.894","-1.10%"
"Apr 16, 2020","135.255","133.664","135.441","133.627","1.02%"
"Apr 15, 2020","133.883","131.036","134.216","130.980","2.33%"
"Apr 14, 2020","130.829","126.478","131.534","126.310","3.17%"
"Apr 13, 2020","126.814","127.647","127.817","126.435","-0.62%"
"Apr 12, 2020","127.609","127.742","127.742","127.565","-0.06%"
"Apr 10, 2020","127.683","127.683","127.683","127.683","0.00%"
"Apr 09, 2020","127.683","125.084","127.858","124.975","1.72%"
"Apr 08, 2020","125.528","124.444","126.353","123.180","2.78%"
"Apr 07, 2020","122.127","121.736","124.368","121.024","-1.44%"
"Apr 06, 2020","123.907","124.025","124.025","123.847","0.00%"
"Apr 05, 2020","123.901","123.943","124.007","123.865","-0.57%"
"Apr 03, 2020","124.614","126.445","127.533","124.095","-1.02%"
"Apr 02, 2020","125.898","134.946","135.149","125.819","-5.56%"
"Apr 01, 2020","133.311","132.180","134.992","132.092","2.56%"
"Mar 31, 2020","129.979","130.326","131.250","129.900","0.98%"
"Mar 30, 2020","128.714","129.941","130.902","127.477","-0.88%"
"Mar 29, 2020","129.854","129.713","129.877","129.713","3.66%"
"Mar 27, 2020","125.274","124.055","127.179","123.822","2.23%"
"Mar 26, 2020","122.537","121.892","123.703","121.515","0.73%"
"Mar 25, 2020","121.653","116.906","121.854","116.040","3.45%"
"Mar 24, 2020","117.592","108.566","117.873","106.599","10.00%"
"Mar 23, 2020","106.904","105.576","107.685","104.099","1.48%"
