TipoDeBono,FechaDeMaduracion,FechaDeValoracion,Precio,TiempoRestanteParaMaduracion,CuponSemestral
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-17,961,9.46575342465753,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-18,969,9.46301369863014,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-19,973,9.46027397260274,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-22,974,9.45205479452055,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-23,975,9.44931506849315,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-24,979,9.44657534246575,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-25,972,9.44383561643836,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-26,965,9.44109589041096,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-29,963,9.43287671232877,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-30,955,9.43013698630137,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-07-31,954,9.42739726027397,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-01,958,9.42465753424658,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-02,949,9.42191780821918,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-05,957,9.41369863013699,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-06,959,9.41095890410959,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-07,953,9.40821917808219,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-08,949,9.4054794520548,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-09,948,9.4027397260274,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-12,953,9.39452054794521,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-13,942,9.39178082191781,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-14,933,9.38904109589041,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-15,927,9.38630136986301,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-16,926,9.38356164383562,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-19,919,9.37534246575343,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-20,904,9.37260273972603,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-21,918,9.36986301369863,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-22,896,9.36712328767123,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-23,910,9.36438356164384,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-26,923,9.35616438356164,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-27,920,9.35342465753425,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-28,921,9.35068493150685,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-29,924,9.34794520547945,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-08-30,909,9.34520547945205,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-02,906,9.33698630136986,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-03,908,9.33424657534247,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-04,907,9.33150684931507,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-05,909,9.32876712328767,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-06,909,9.32602739726027,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-09,918,9.31780821917808,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-10,921,9.31506849315068,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-11,923,9.31232876712329,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-12,923,9.30958904109589,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-13,917,9.30684931506849,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-16,917,9.2986301369863,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-17,918,9.2958904109589,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-18,920,9.29315068493151,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-19,942,9.29041095890411,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-20,943,9.28767123287671,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-23,946,9.27945205479452,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-24,945,9.27671232876712,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-25,948,9.27397260273973,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-26,943,9.27123287671233,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-27,936,9.26849315068493,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-09-30,936,9.26027397260274,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-01,937,9.25753424657534,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-02,935,9.25479452054794,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-03,936,9.25205479452055,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-04,936,9.24931506849315,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-07,936,9.24109589041096,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-08,939,9.23835616438356,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-09,941,9.23561643835616,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-10,947,9.23287671232877,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-11,947,9.23013698630137,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-14,945,9.22191780821918,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-15,942,9.21917808219178,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-16,941,9.21643835616438,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-17,943,9.21369863013699,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-18,945,9.21095890410959,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-21,939,9.2027397260274,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-22,935,9.2,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-23,939,9.1972602739726,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-24,949,9.19452054794521,0.048808848170152
Tesouro Prefixado com Juros Semestrais,2023-01-01,2013-10-25,950,9.19178082191781,0.048808848170152
