Tipo.Titulo,Data.Vencimento,Data.Base,PU.Base.Manha,TempoDeMaduracao
Tesouro Prefixado,2023-01-01,2019-03-07,736,3.824657534246575
Tesouro Prefixado,2023-01-01,2019-03-08,738,3.8219178082191783
Tesouro Prefixado,2023-01-01,2019-03-11,741,3.813698630136986
Tesouro Prefixado,2023-01-01,2019-03-12,743,3.8109589041095893
Tesouro Prefixado,2023-01-01,2019-03-13,746,3.808219178082192
Tesouro Prefixado,2023-01-01,2019-03-14,746,3.8054794520547945
Tesouro Prefixado,2023-01-01,2019-03-15,744,3.802739726027397
Tesouro Prefixado,2023-01-01,2019-03-18,746,3.7945205479452055
Tesouro Prefixado,2023-01-01,2019-03-19,748,3.791780821917808
Tesouro Prefixado,2023-01-01,2019-03-20,748,3.789041095890411
Tesouro Prefixado,2023-01-01,2019-03-21,751,3.786301369863014
Tesouro Prefixado,2023-01-01,2019-03-22,742,3.7835616438356166
Tesouro Prefixado,2023-01-01,2019-03-25,738,3.7753424657534245
Tesouro Prefixado,2023-01-01,2019-03-26,745,3.7726027397260276
Tesouro Prefixado,2023-01-01,2019-03-27,740,3.76986301369863
Tesouro Prefixado,2023-01-01,2019-03-28,737,3.767123287671233
Tesouro Prefixado,2023-01-01,2019-03-29,745,3.7643835616438355
Tesouro Prefixado,2023-01-01,2019-04-01,746,3.756164383561644
Tesouro Prefixado,2023-01-01,2019-04-02,747,3.7534246575342465
Tesouro Prefixado,2023-01-01,2019-04-03,747,3.750684931506849
Tesouro Prefixado,2023-01-01,2019-04-04,745,3.747945205479452
Tesouro Prefixado,2023-01-01,2019-04-05,746,3.745205479452055
Tesouro Prefixado,2023-01-01,2019-04-08,746,3.736986301369863
Tesouro Prefixado,2023-01-01,2019-04-09,745,3.734246575342466
Tesouro Prefixado,2023-01-01,2019-04-10,745,3.7315068493150685
Tesouro Prefixado,2023-01-01,2019-04-11,746,3.728767123287671
Tesouro Prefixado,2023-01-01,2019-04-12,744,3.7260273972602738
Tesouro Prefixado,2023-01-01,2019-04-15,744,3.717808219178082
Tesouro Prefixado,2023-01-01,2019-04-16,746,3.7150684931506848
Tesouro Prefixado,2023-01-01,2019-04-17,746,3.712328767123288
Tesouro Prefixado,2023-01-01,2019-04-18,745,3.7095890410958905
Tesouro Prefixado,2023-01-01,2019-04-22,748,3.6986301369863015
Tesouro Prefixado,2023-01-01,2019-04-23,749,3.695890410958904
Tesouro Prefixado,2023-01-01,2019-04-24,751,3.6931506849315068
Tesouro Prefixado,2023-01-01,2019-04-25,746,3.6904109589041094
Tesouro Prefixado,2023-01-01,2019-04-26,747,3.6876712328767125
Tesouro Prefixado,2023-01-01,2019-04-29,748,3.6794520547945204
Tesouro Prefixado,2023-01-01,2019-04-30,748,3.6767123287671235
Tesouro Prefixado,2023-01-01,2019-05-02,747,3.671232876712329
Tesouro Prefixado,2023-01-01,2019-05-03,749,3.6684931506849314
Tesouro Prefixado,2023-01-01,2019-05-06,751,3.66027397260274
Tesouro Prefixado,2023-01-01,2019-05-07,751,3.6575342465753424
Tesouro Prefixado,2023-01-01,2019-05-08,752,3.654794520547945
Tesouro Prefixado,2023-01-01,2019-05-09,753,3.652054794520548
Tesouro Prefixado,2023-01-01,2019-05-10,755,3.649315068493151
Tesouro Prefixado,2023-01-01,2019-05-13,754,3.6410958904109587
Tesouro Prefixado,2023-01-01,2019-05-14,754,3.638356164383562
Tesouro Prefixado,2023-01-01,2019-05-15,756,3.6356164383561644
Tesouro Prefixado,2023-01-01,2019-05-16,755,3.632876712328767
Tesouro Prefixado,2023-01-01,2019-05-17,753,3.6301369863013697
Tesouro Prefixado,2023-01-01,2019-05-20,750,3.621917808219178
Tesouro Prefixado,2023-01-01,2019-05-21,754,3.6191780821917807
Tesouro Prefixado,2023-01-01,2019-05-22,757,3.6164383561643834
Tesouro Prefixado,2023-01-01,2019-05-23,756,3.6136986301369864
Tesouro Prefixado,2023-01-01,2019-05-24,759,3.610958904109589
Tesouro Prefixado,2023-01-01,2019-05-27,760,3.6027397260273974
Tesouro Prefixado,2023-01-01,2019-05-28,761,3.6
Tesouro Prefixado,2023-01-01,2019-05-29,766,3.5972602739726027
Tesouro Prefixado,2023-01-01,2019-05-30,767,3.5945205479452054
Tesouro Prefixado,2023-01-01,2019-05-31,769,3.591780821917808
Tesouro Prefixado,2023-01-01,2019-06-03,771,3.5835616438356164
Tesouro Prefixado,2023-01-01,2019-06-04,776,3.580821917808219
Tesouro Prefixado,2023-01-01,2019-06-05,778,3.578082191780822
Tesouro Prefixado,2023-01-01,2019-06-06,777,3.5753424657534247
Tesouro Prefixado,2023-01-01,2019-06-07,781,3.5726027397260274
Tesouro Prefixado,2023-01-01,2019-06-10,782,3.5643835616438357
Tesouro Prefixado,2023-01-01,2019-06-11,783,3.5616438356164384
Tesouro Prefixado,2023-01-01,2019-06-12,785,3.558904109589041
Tesouro Prefixado,2023-01-01,2019-06-13,786,3.5561643835616437
Tesouro Prefixado,2023-01-01,2019-06-14,788,3.5534246575342467
Tesouro Prefixado,2023-01-01,2019-06-17,789,3.5452054794520547
Tesouro Prefixado,2023-01-01,2019-06-18,790,3.5424657534246577
Tesouro Prefixado,2023-01-01,2019-06-19,788,3.5397260273972604
Tesouro Prefixado,2023-01-01,2019-06-21,796,3.5342465753424657
Tesouro Prefixado,2023-01-01,2019-06-24,796,3.526027397260274
Tesouro Prefixado,2023-01-01,2019-06-25,795,3.5232876712328767
Tesouro Prefixado,2023-01-01,2019-06-26,795,3.5205479452054793
Tesouro Prefixado,2023-01-01,2019-06-27,794,3.5178082191780824
Tesouro Prefixado,2023-01-01,2019-06-28,797,3.515068493150685
Tesouro Prefixado,2023-01-01,2019-07-01,800,3.506849315068493
Tesouro Prefixado,2023-01-01,2019-07-02,800,3.504109589041096
Tesouro Prefixado,2023-01-01,2019-07-03,798,3.5013698630136987
Tesouro Prefixado,2023-01-01,2019-07-04,803,3.4986301369863013
Tesouro Prefixado,2023-01-01,2019-07-05,803,3.495890410958904
Tesouro Prefixado,2023-01-01,2019-07-08,805,3.4876712328767123
Tesouro Prefixado,2023-01-01,2019-07-09,806,3.484931506849315
Tesouro Prefixado,2023-01-01,2019-07-10,808,3.4821917808219176
Tesouro Prefixado,2023-01-01,2019-07-11,809,3.4794520547945207
Tesouro Prefixado,2023-01-01,2019-07-12,810,3.4767123287671233
Tesouro Prefixado,2023-01-01,2019-07-15,809,3.4684931506849317
Tesouro Prefixado,2023-01-01,2019-07-16,809,3.4657534246575343
Tesouro Prefixado,2023-01-01,2019-07-17,808,3.463013698630137
Tesouro Prefixado,2023-01-01,2019-07-18,808,3.4602739726027396
Tesouro Prefixado,2023-01-01,2019-07-19,808,3.4575342465753423
Tesouro Prefixado,2023-01-01,2019-07-22,808,3.4493150684931506
Tesouro Prefixado,2023-01-01,2019-07-23,810,3.4465753424657533
Tesouro Prefixado,2023-01-01,2019-07-24,811,3.4438356164383563
Tesouro Prefixado,2023-01-01,2019-07-25,812,3.441095890410959
Tesouro Prefixado,2023-01-01,2019-07-26,810,3.4383561643835616
Tesouro Prefixado,2023-01-01,2019-07-29,811,3.43013698630137
Tesouro Prefixado,2023-01-01,2019-07-30,811,3.4273972602739726
Tesouro Prefixado,2023-01-01,2019-07-31,812,3.4246575342465753
Tesouro Prefixado,2023-01-01,2019-08-01,813,3.421917808219178
Tesouro Prefixado,2023-01-01,2019-08-02,810,3.419178082191781
Tesouro Prefixado,2023-01-01,2019-08-05,809,3.410958904109589
Tesouro Prefixado,2023-01-01,2019-08-06,808,3.408219178082192
Tesouro Prefixado,2023-01-01,2019-08-07,810,3.4054794520547946
Tesouro Prefixado,2023-01-01,2019-08-08,812,3.4027397260273973
Tesouro Prefixado,2023-01-01,2019-08-09,812,3.4
Tesouro Prefixado,2023-01-01,2019-08-12,810,3.3917808219178083
Tesouro Prefixado,2023-01-01,2019-08-13,812,3.389041095890411
Tesouro Prefixado,2023-01-01,2019-08-14,811,3.3863013698630136
Tesouro Prefixado,2023-01-01,2019-08-15,810,3.3835616438356166
Tesouro Prefixado,2023-01-01,2019-08-16,812,3.3808219178082193
Tesouro Prefixado,2023-01-01,2019-08-19,813,3.372602739726027
Tesouro Prefixado,2023-01-01,2019-08-20,811,3.3698630136986303
Tesouro Prefixado,2023-01-01,2019-08-21,813,3.367123287671233
Tesouro Prefixado,2023-01-01,2019-08-22,814,3.3643835616438356
Tesouro Prefixado,2023-01-01,2019-08-23,813,3.361643835616438
Tesouro Prefixado,2023-01-01,2019-08-26,811,3.3534246575342466
Tesouro Prefixado,2023-01-01,2019-08-27,807,3.350684931506849
Tesouro Prefixado,2023-01-01,2019-08-28,806,3.347945205479452
Tesouro Prefixado,2023-01-01,2019-08-29,805,3.345205479452055
Tesouro Prefixado,2023-01-01,2019-08-30,808,3.3424657534246576
Tesouro Prefixado,2023-01-01,2019-09-02,809,3.334246575342466
Tesouro Prefixado,2023-01-01,2019-09-03,809,3.3315068493150686
Tesouro Prefixado,2023-01-01,2019-09-04,812,3.328767123287671
Tesouro Prefixado,2023-01-01,2019-09-05,814,3.326027397260274
Tesouro Prefixado,2023-01-01,2019-09-06,814,3.3232876712328765
Tesouro Prefixado,2023-01-01,2019-09-09,814,3.315068493150685
Tesouro Prefixado,2023-01-01,2019-09-10,814,3.3123287671232875
Tesouro Prefixado,2023-01-01,2019-09-11,814,3.3095890410958906
Tesouro Prefixado,2023-01-01,2019-09-12,815,3.3068493150684932
Tesouro Prefixado,2023-01-01,2019-09-13,816,3.304109589041096
Tesouro Prefixado,2023-01-01,2019-09-16,815,3.2958904109589042
Tesouro Prefixado,2023-01-01,2019-09-17,816,3.293150684931507
Tesouro Prefixado,2023-01-01,2019-09-18,820,3.2904109589041095
Tesouro Prefixado,2023-01-01,2019-09-19,824,3.287671232876712
Tesouro Prefixado,2023-01-01,2019-09-20,822,3.2849315068493152
Tesouro Prefixado,2023-01-01,2019-09-23,825,3.276712328767123
Tesouro Prefixado,2023-01-01,2019-09-24,824,3.2739726027397262
Tesouro Prefixado,2023-01-01,2019-09-25,822,3.271232876712329
Tesouro Prefixado,2023-01-01,2019-09-26,825,3.2684931506849315
Tesouro Prefixado,2023-01-01,2019-09-27,826,3.265753424657534
Tesouro Prefixado,2023-01-01,2019-09-30,826,3.2575342465753425
Tesouro Prefixado,2023-01-01,2019-10-01,826,3.254794520547945
Tesouro Prefixado,2023-01-01,2019-10-02,826,3.252054794520548
Tesouro Prefixado,2023-01-01,2019-10-03,827,3.249315068493151
Tesouro Prefixado,2023-01-01,2019-10-04,830,3.2465753424657535
Tesouro Prefixado,2023-01-01,2019-10-07,830,3.2383561643835614
Tesouro Prefixado,2023-01-01,2019-10-08,829,3.2356164383561645
Tesouro Prefixado,2023-01-01,2019-10-09,831,3.232876712328767
Tesouro Prefixado,2023-01-01,2019-10-10,834,3.23013698630137
Tesouro Prefixado,2023-01-01,2019-10-11,838,3.2273972602739724
Tesouro Prefixado,2023-01-01,2019-10-14,840,3.219178082191781
Tesouro Prefixado,2023-01-01,2019-10-15,841,3.2164383561643834
Tesouro Prefixado,2023-01-01,2019-10-16,840,3.213698630136986
Tesouro Prefixado,2023-01-01,2019-10-17,843,3.210958904109589
Tesouro Prefixado,2023-01-01,2019-10-18,844,3.208219178082192
Tesouro Prefixado,2023-01-01,2019-10-21,845,3.2
Tesouro Prefixado,2023-01-01,2019-10-22,845,3.197260273972603
Tesouro Prefixado,2023-01-01,2019-10-23,844,3.1945205479452055
Tesouro Prefixado,2023-01-01,2019-10-24,845,3.191780821917808
Tesouro Prefixado,2023-01-01,2019-10-25,846,3.1890410958904107
Tesouro Prefixado,2023-01-01,2019-10-28,846,3.180821917808219
Tesouro Prefixado,2023-01-01,2019-10-29,848,3.1780821917808217
Tesouro Prefixado,2023-01-01,2019-10-30,847,3.175342465753425
Tesouro Prefixado,2023-01-01,2019-10-31,848,3.1726027397260275
Tesouro Prefixado,2023-01-01,2019-11-01,848,3.16986301369863
Tesouro Prefixado,2023-01-01,2019-11-04,849,3.1616438356164385
Tesouro Prefixado,2023-01-01,2019-11-05,846,3.158904109589041
Tesouro Prefixado,2023-01-01,2019-11-06,846,3.1561643835616437
Tesouro Prefixado,2023-01-01,2019-11-07,845,3.1534246575342464
Tesouro Prefixado,2023-01-01,2019-11-08,842,3.1506849315068495
Tesouro Prefixado,2023-01-01,2019-11-11,842,3.1424657534246574
Tesouro Prefixado,2023-01-01,2019-11-12,843,3.1397260273972605
Tesouro Prefixado,2023-01-01,2019-11-13,841,3.136986301369863
Tesouro Prefixado,2023-01-01,2019-11-14,842,3.1342465753424658
Tesouro Prefixado,2023-01-01,2019-11-18,842,3.1232876712328768
Tesouro Prefixado,2023-01-01,2019-11-19,840,3.1205479452054794
Tesouro Prefixado,2023-01-01,2019-11-21,839,3.115068493150685
Tesouro Prefixado,2023-01-01,2019-11-22,839,3.1123287671232878
Tesouro Prefixado,2023-01-01,2019-11-25,840,3.1041095890410957
Tesouro Prefixado,2023-01-01,2019-11-26,835,3.1013698630136988
Tesouro Prefixado,2023-01-01,2019-11-27,837,3.0986301369863014
Tesouro Prefixado,2023-01-01,2019-11-28,835,3.095890410958904
Tesouro Prefixado,2023-01-01,2019-11-29,840,3.0931506849315067
Tesouro Prefixado,2023-01-01,2019-12-02,839,3.084931506849315
Tesouro Prefixado,2023-01-01,2019-12-03,839,3.0821917808219177
Tesouro Prefixado,2023-01-01,2019-12-04,841,3.0794520547945203
Tesouro Prefixado,2023-01-01,2019-12-05,841,3.0767123287671234
Tesouro Prefixado,2023-01-01,2019-12-06,842,3.073972602739726
Tesouro Prefixado,2023-01-01,2019-12-09,843,3.0657534246575344
Tesouro Prefixado,2023-01-01,2019-12-10,844,3.063013698630137
Tesouro Prefixado,2023-01-01,2019-12-11,845,3.0602739726027397
Tesouro Prefixado,2023-01-01,2019-12-12,846,3.0575342465753423
Tesouro Prefixado,2023-01-01,2019-12-13,845,3.0547945205479454
Tesouro Prefixado,2023-01-01,2019-12-16,845,3.0465753424657533
Tesouro Prefixado,2023-01-01,2019-12-17,842,3.043835616438356
Tesouro Prefixado,2023-01-01,2019-12-18,839,3.041095890410959
Tesouro Prefixado,2023-01-01,2019-12-19,840,3.0383561643835617
Tesouro Prefixado,2023-01-01,2019-12-20,838,3.0356164383561643
Tesouro Prefixado,2023-01-01,2019-12-23,841,3.0273972602739727
Tesouro Prefixado,2023-01-01,2019-12-26,842,3.0191780821917806
Tesouro Prefixado,2023-01-01,2019-12-27,843,3.0164383561643837
Tesouro Prefixado,2023-01-01,2019-12-30,844,3.0082191780821916
Tesouro Prefixado,2023-01-01,2020-01-02,846,3
Tesouro Prefixado,2023-01-01,2020-01-03,844,2.9972602739726026
Tesouro Prefixado,2023-01-01,2020-01-06,846,2.989041095890411
Tesouro Prefixado,2023-01-01,2020-01-07,846,2.9863013698630136
Tesouro Prefixado,2023-01-01,2020-01-08,847,2.9835616438356163
Tesouro Prefixado,2023-01-01,2020-01-09,849,2.9808219178082194
Tesouro Prefixado,2023-01-01,2020-01-10,849,2.978082191780822
Tesouro Prefixado,2023-01-01,2020-01-13,849,2.96986301369863
Tesouro Prefixado,2023-01-01,2020-01-14,848,2.967123287671233
Tesouro Prefixado,2023-01-01,2020-01-15,852,2.9643835616438357
Tesouro Prefixado,2023-01-01,2020-01-16,852,2.9616438356164383
Tesouro Prefixado,2023-01-01,2020-01-17,851,2.958904109589041
Tesouro Prefixado,2023-01-01,2020-01-20,850,2.9506849315068493
Tesouro Prefixado,2023-01-01,2020-01-21,850,2.947945205479452
Tesouro Prefixado,2023-01-01,2020-01-22,853,2.9452054794520546
Tesouro Prefixado,2023-01-01,2020-01-23,853,2.9424657534246577
Tesouro Prefixado,2025-01-01,2020-08-17,777,4.3780821917808215
Tesouro Prefixado,2025-01-01,2020-08-18,779,4.375342465753425
Tesouro Prefixado,2025-01-01,2020-08-19,782,4.372602739726028
Tesouro Prefixado,2025-01-01,2020-08-20,769,4.36986301369863
Tesouro Prefixado,2025-01-01,2020-08-21,777,4.367123287671233
Tesouro Prefixado,2025-01-01,2020-08-24,781,4.358904109589041
Tesouro Prefixado,2025-01-01,2020-08-25,778,4.3561643835616435
Tesouro Prefixado,2025-01-01,2020-08-26,777,4.353424657534247
Tesouro Prefixado,2025-01-01,2020-08-27,772,4.35068493150685
Tesouro Prefixado,2025-01-01,2020-08-28,775,4.347945205479452
Tesouro Prefixado,2025-01-01,2020-08-31,777,4.33972602739726
Tesouro Prefixado,2025-01-01,2020-09-01,776,4.336986301369863
Tesouro Prefixado,2025-01-01,2020-09-02,780,4.3342465753424655
Tesouro Prefixado,2025-01-01,2020-09-03,777,4.331506849315068
Tesouro Prefixado,2025-01-01,2020-09-04,781,4.328767123287672
Tesouro Prefixado,2025-01-01,2020-09-08,780,4.317808219178082
Tesouro Prefixado,2025-01-01,2020-09-09,778,4.315068493150685
Tesouro Prefixado,2025-01-01,2020-09-10,778,4.3123287671232875
Tesouro Prefixado,2025-01-01,2020-09-11,773,4.30958904109589
Tesouro Prefixado,2025-01-01,2020-09-14,774,4.301369863013699
Tesouro Prefixado,2025-01-01,2020-09-15,775,4.298630136986302
Tesouro Prefixado,2025-01-01,2020-09-16,772,4.295890410958904
Tesouro Prefixado,2025-01-01,2020-09-17,768,4.293150684931507
Tesouro Prefixado,2025-01-01,2020-09-18,771,4.2904109589041095
Tesouro Prefixado,2025-01-01,2020-09-21,760,4.282191780821917
Tesouro Prefixado,2025-01-01,2020-09-22,765,4.279452054794521
Tesouro Prefixado,2025-01-01,2020-09-23,762,4.276712328767124
Tesouro Prefixado,2025-01-01,2020-09-24,761,4.273972602739726
Tesouro Prefixado,2025-01-01,2020-09-25,767,4.271232876712329
